Age,Attrition,DistanceFromHome,Education,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
33,No,10,3,2,4,4682,3,No,14,3,3,9,6,2,7,0,1,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
47,No,5,5,5,3,18300,4,No,11,3,2,21,2,3,3,1,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
43,No,10,4,2,3,5257,1,No,11,3,2,9,3,4,9,0,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,No,1,1,2,2,6349,0,Yes,13,3,4,6,0,3,5,1,4,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
54,No,20,4,2,3,4869,3,No,12,3,4,20,4,2,4,0,3,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
43,No,7,3,3,1,9985,8,No,16,3,1,10,1,2,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
45,No,8,4,2,4,3697,9,No,14,3,1,12,3,3,10,9,8,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False
40,No,1,2,2,4,7457,2,Yes,22,4,3,6,2,2,4,0,2,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
29,Yes,8,4,1,1,2119,1,Yes,11,3,4,7,4,2,7,0,7,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
29,No,9,5,1,4,3983,0,No,17,3,3,4,2,3,3,2,2,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
30,No,5,3,2,3,6118,1,No,13,3,3,10,2,3,10,1,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
27,No,8,4,2,2,6214,1,No,18,3,1,8,3,3,8,0,7,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
37,No,5,2,2,4,6347,7,No,16,3,3,8,2,2,6,0,4,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
38,No,15,2,3,4,11510,0,Yes,14,3,2,12,3,3,11,2,9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
31,No,7,4,3,4,7143,1,Yes,14,3,3,11,2,2,11,4,10,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
29,No,10,1,2,2,8268,1,Yes,14,3,1,7,2,3,7,1,7,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35,No,5,4,3,2,8095,0,No,13,3,4,17,5,3,16,0,13,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
23,No,26,1,1,4,2904,1,No,12,3,3,4,2,2,4,0,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
41,No,6,3,2,2,6032,6,Yes,15,3,4,8,3,3,5,1,2,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
47,No,4,1,2,3,2976,3,No,19,3,1,5,3,3,0,0,0,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
42,No,23,5,4,4,15992,2,No,14,3,2,16,2,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
29,No,2,3,2,3,4649,1,No,14,3,1,4,3,2,4,0,2,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
42,No,2,1,1,3,2696,0,Yes,11,3,3,4,5,3,3,1,0,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
32,No,2,3,1,2,2370,1,No,13,3,3,8,4,3,8,0,7,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
48,No,29,1,3,3,12504,3,No,21,4,2,15,3,1,0,0,0,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
37,No,6,3,2,1,5974,4,Yes,13,3,1,13,2,3,7,6,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
30,No,25,2,2,3,4736,7,Yes,12,3,2,4,2,4,2,2,2,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
26,No,1,3,2,3,5296,1,No,17,3,2,8,3,3,8,7,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
42,No,2,4,2,4,6781,3,No,23,4,2,14,6,3,1,0,0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
21,Yes,1,1,1,2,2174,1,Yes,11,3,3,3,3,3,3,1,2,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
36,No,1,5,2,4,6653,4,No,15,3,2,7,6,3,1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
36,No,3,4,3,4,9699,4,No,11,3,1,16,2,3,13,1,12,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
57,No,1,4,2,3,6755,2,No,11,3,3,15,2,3,3,1,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
40,No,10,4,1,3,2213,3,Yes,13,3,3,10,3,3,7,1,7,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
21,No,9,2,1,4,2610,1,No,24,4,3,3,3,2,3,2,2,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
33,Yes,5,3,1,3,2851,1,Yes,13,3,2,1,2,3,1,0,0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
37,No,10,3,1,1,3452,6,No,20,4,2,17,3,3,5,0,3,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
46,No,7,4,2,3,5258,2,No,14,3,3,7,2,4,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
41,Yes,4,3,2,2,9355,1,No,18,3,3,8,5,3,8,7,7,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
50,No,10,3,3,4,10496,6,No,15,3,4,20,2,3,4,1,3,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
40,Yes,22,2,2,3,6380,2,Yes,12,3,1,8,6,3,6,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
31,No,9,4,1,2,2657,0,Yes,16,3,4,3,5,3,2,2,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
21,Yes,12,3,1,2,2716,1,No,15,3,4,1,0,3,1,0,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
29,No,23,3,1,4,2201,9,No,16,3,4,6,4,3,3,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
35,No,9,4,2,2,6540,9,No,19,3,3,10,5,3,1,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
27,No,1,2,1,2,3816,1,No,11,3,2,5,2,3,5,0,4,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
28,No,9,4,2,4,5253,1,No,16,3,4,7,1,3,7,0,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
49,No,7,3,3,3,10965,8,No,24,4,3,26,2,3,5,0,0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
51,No,14,2,2,4,4936,4,No,11,3,3,18,2,2,7,0,7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
36,No,2,3,1,3,2543,4,No,13,3,2,6,3,3,2,2,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
34,Yes,19,3,2,4,5304,8,Yes,13,3,2,9,3,2,5,0,4,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
55,No,2,3,4,4,16659,2,Yes,13,3,3,30,2,3,5,1,2,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
24,No,10,4,2,3,4260,1,Yes,12,3,4,5,2,4,5,0,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
30,No,2,1,1,2,2476,1,No,18,3,1,1,3,3,1,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
26,Yes,3,1,1,1,3102,0,No,22,4,3,7,2,3,6,0,4,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True
22,No,11,3,1,2,2244,1,No,13,3,4,2,1,3,2,1,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
36,No,2,2,3,3,7596,1,No,13,3,2,10,2,3,10,9,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
30,Yes,4,3,1,4,2285,9,Yes,23,4,3,3,4,3,1,0,0,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True
37,No,14,3,1,1,3034,1,No,12,3,3,18,2,2,18,12,17,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
40,No,2,2,2,2,5715,7,No,12,3,3,8,5,3,5,1,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
42,No,1,4,1,1,2576,3,No,16,3,2,8,5,3,5,1,2,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
37,No,10,4,2,2,4197,2,Yes,12,3,4,18,2,2,1,0,1,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
43,No,12,3,4,2,14336,1,No,11,3,3,25,3,3,25,3,9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
40,No,2,3,2,3,3448,6,No,22,4,2,20,3,3,1,0,0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
54,No,5,2,5,1,19406,4,No,11,3,3,24,4,2,4,1,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
34,No,4,4,2,3,6538,9,No,15,3,1,6,3,3,3,1,2,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
31,No,7,2,2,1,4306,1,No,12,3,2,13,5,1,13,3,12,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
43,No,21,3,1,4,2258,7,No,20,4,1,8,1,3,3,1,2,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
43,No,8,4,2,3,4522,4,Yes,14,3,4,8,3,3,5,0,2,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
25,No,4,2,2,4,4487,1,Yes,11,3,2,5,3,3,5,1,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
37,No,25,5,2,3,4449,3,Yes,15,3,1,15,2,3,13,10,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
31,No,1,2,1,1,2218,1,No,12,3,3,4,3,3,4,3,2,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
39,No,1,1,5,3,19197,1,Yes,14,3,3,21,3,3,21,1,6,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
56,No,6,3,4,1,13212,9,No,11,3,4,36,0,2,7,7,7,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
30,No,12,3,2,3,6577,0,No,11,3,2,6,6,3,5,4,4,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
41,No,1,3,3,1,8392,1,No,16,3,3,10,2,3,10,0,7,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
28,No,17,2,2,1,4558,1,No,12,3,4,10,2,3,10,1,8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
25,Yes,3,3,1,1,4031,5,No,13,3,3,6,5,3,2,0,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
52,No,3,3,3,3,7969,2,Yes,14,3,3,28,4,3,5,0,4,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
45,No,10,2,1,4,2654,3,No,21,4,4,8,3,2,2,0,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
52,No,4,2,4,4,16555,2,No,13,3,4,31,2,1,5,1,4,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
42,No,29,2,2,3,4556,2,No,11,3,2,19,3,3,5,0,2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
30,No,2,3,2,4,6091,2,No,20,4,3,11,2,3,5,0,2,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
60,No,7,3,5,1,19566,5,No,11,3,4,33,5,1,29,11,10,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
46,No,18,3,2,3,4810,2,No,14,3,3,19,5,2,10,0,8,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
42,No,28,4,2,4,4523,0,No,11,3,4,7,4,4,6,0,4,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
24,Yes,1,1,1,2,3202,1,Yes,16,3,2,6,4,3,5,1,4,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
34,Yes,6,2,1,3,2351,0,No,16,3,4,3,3,2,2,1,0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
38,No,2,2,1,4,1702,1,Yes,23,4,3,1,3,3,1,0,0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
40,No,2,4,5,3,18041,0,No,14,3,4,21,2,3,20,1,12,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
26,No,23,3,1,4,2886,1,No,22,4,2,3,3,1,3,0,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
30,No,3,3,1,4,2097,4,No,15,3,3,9,3,1,5,1,4,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
29,No,3,4,3,3,11935,1,No,18,3,3,10,2,3,10,0,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False
29,Yes,25,5,1,2,2546,5,No,16,3,2,6,2,4,2,1,1,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
19,Yes,2,2,1,4,2564,1,No,12,3,3,1,3,4,1,0,0,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True
30,No,22,4,3,1,8412,0,No,11,3,3,10,3,3,9,7,8,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
57,No,29,3,4,4,14118,3,No,12,3,3,32,3,2,1,0,0,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
50,No,29,4,4,3,17046,0,No,15,3,2,28,2,3,27,15,7,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
30,No,2,3,1,4,2564,0,No,14,3,3,12,2,2,11,6,7,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
60,No,28,3,3,1,10266,4,No,19,3,4,22,5,4,18,13,11,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
47,No,2,2,2,4,5070,5,No,13,3,3,20,2,3,5,0,4,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
46,No,2,3,4,3,17861,6,No,13,3,3,26,2,1,3,0,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
35,No,22,3,1,3,4230,0,No,15,3,3,6,2,3,5,4,3,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
54,No,8,4,2,3,3780,7,No,11,3,3,19,3,3,1,0,0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
34,No,2,4,1,3,2768,3,No,12,3,3,14,3,3,7,5,7,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
46,No,10,3,3,4,9071,2,Yes,19,3,3,15,3,3,3,1,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
31,No,9,1,3,2,10648,1,No,25,4,4,13,6,4,13,0,8,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
33,Yes,15,1,3,3,13610,7,Yes,12,3,4,15,2,4,7,7,7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
33,Yes,10,1,1,4,3408,7,No,13,3,1,8,2,3,4,1,3,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
30,No,7,1,1,2,2983,0,No,14,3,1,4,3,3,3,1,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
35,No,16,3,3,3,7632,4,Yes,12,3,3,10,2,3,8,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
31,Yes,20,3,3,3,9824,3,No,12,3,1,12,2,3,1,0,0,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
34,Yes,23,3,3,1,9950,9,Yes,15,3,3,11,2,3,3,0,2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
42,No,5,2,1,3,2093,4,No,17,3,4,8,4,3,2,2,0,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
36,No,10,4,3,4,9980,1,No,14,3,4,10,3,2,10,9,7,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
22,Yes,4,1,1,3,3894,5,No,16,3,3,4,3,3,2,1,2,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
48,No,2,5,2,4,4051,2,No,14,3,1,14,2,3,9,6,7,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
55,No,18,5,4,2,16835,3,No,23,4,4,37,2,3,10,7,7,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,No,10,2,2,4,6230,7,No,14,3,4,16,3,3,14,1,10,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
35,No,1,3,2,3,4717,9,No,11,3,3,15,2,3,11,6,9,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
40,No,6,3,4,3,13237,7,No,15,3,3,22,3,3,20,5,13,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
39,No,8,1,1,3,3755,1,No,11,3,1,8,3,3,8,0,7,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
31,No,2,1,2,4,6582,4,Yes,13,3,3,10,2,4,6,0,5,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
42,No,24,3,3,1,7406,1,Yes,21,4,4,10,5,2,10,5,8,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
45,No,2,3,2,2,4805,0,No,19,3,2,9,3,4,8,3,7,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
26,Yes,17,4,1,3,2741,0,Yes,11,3,2,8,2,2,7,1,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
29,No,19,3,2,4,4262,4,No,12,3,2,8,2,4,3,1,2,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
33,No,1,5,4,3,16184,4,No,19,3,3,10,2,3,6,0,5,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
31,No,7,3,3,4,11557,9,No,21,4,3,10,3,2,5,0,1,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
18,Yes,5,3,1,2,1878,1,Yes,14,3,4,0,3,3,0,0,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
40,No,28,3,3,1,10932,3,No,15,3,3,20,2,3,1,0,1,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
41,No,2,4,2,3,6811,2,Yes,17,3,1,10,3,3,8,0,7,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
26,No,29,2,2,3,4306,5,No,12,3,1,8,5,3,0,0,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
35,No,1,3,2,3,4859,1,No,16,3,4,5,3,3,5,0,3,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
34,No,21,4,2,4,5337,1,No,12,3,4,10,3,3,10,5,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
26,Yes,24,3,1,4,2340,1,Yes,18,3,2,1,3,1,1,0,0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
37,No,1,3,3,4,7491,4,No,17,3,4,12,3,4,6,1,2,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
46,No,18,1,3,3,10527,5,No,11,3,4,28,3,2,2,1,2,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
41,No,2,5,4,1,16595,7,No,16,3,2,22,2,3,18,11,8,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
37,No,9,4,3,2,8834,1,No,13,3,4,9,6,3,9,7,7,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
52,No,6,2,2,1,5577,3,Yes,12,3,2,18,3,3,10,6,9,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
32,Yes,11,4,2,3,4707,8,No,12,3,4,6,2,3,4,1,2,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
24,No,24,3,1,4,2400,0,No,13,3,3,3,3,3,2,2,1,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False
38,No,10,3,2,3,9824,3,No,19,3,3,18,4,3,1,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
37,No,1,4,2,2,6447,6,No,12,3,2,8,2,2,6,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
49,No,18,4,5,3,19502,1,Yes,17,3,3,31,5,3,31,0,9,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
24,No,23,3,1,4,2725,1,Yes,11,3,2,6,3,3,6,1,4,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
26,No,28,2,2,2,6272,1,No,20,4,4,6,5,4,5,1,4,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
24,No,17,2,1,2,2127,1,No,21,4,4,1,2,3,1,0,0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
50,No,3,3,5,2,18200,1,No,11,3,3,32,2,3,32,10,7,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
25,No,13,1,1,3,2096,1,No,11,3,3,7,1,3,7,0,6,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False
24,Yes,7,3,1,3,2886,1,Yes,16,3,4,6,4,3,6,1,2,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
30,Yes,12,4,1,1,2033,1,No,18,3,3,1,2,4,1,0,0,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
34,No,1,2,1,4,3622,1,Yes,13,3,4,6,3,3,6,1,3,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
31,Yes,13,4,2,1,4233,2,No,17,3,3,9,2,1,3,1,2,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
35,No,25,2,2,4,3681,4,No,14,3,4,9,3,3,3,0,2,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
31,No,6,4,2,4,5460,4,No,22,4,4,13,4,4,7,5,7,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
27,No,6,4,1,3,2187,0,No,12,3,3,6,5,2,5,0,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
37,No,2,3,2,3,9602,4,Yes,11,3,3,17,3,2,3,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
20,No,1,3,1,2,2836,1,No,13,3,4,1,0,4,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,No,2,4,2,4,4089,1,No,13,3,2,10,4,3,10,2,2,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
43,No,6,4,4,4,16627,4,Yes,14,3,3,21,3,2,1,0,0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
38,No,1,1,1,1,2619,3,No,17,3,4,8,3,2,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
43,No,9,5,2,3,5679,3,Yes,13,3,2,10,3,3,8,4,7,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
48,No,1,4,4,1,15402,7,No,11,3,1,21,3,1,3,0,2,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
44,No,1,4,2,3,5985,4,No,11,3,2,10,1,4,2,0,2,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
34,No,14,3,1,3,2579,1,Yes,18,3,4,8,3,3,8,0,6,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
27,Yes,2,1,1,1,3041,0,No,11,3,2,5,3,3,4,0,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
21,No,22,1,1,3,3447,1,No,11,3,3,3,2,3,3,1,2,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True
44,No,3,4,5,4,19513,4,Yes,12,3,1,26,2,4,2,0,1,False,True,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
22,No,6,1,1,3,2773,0,No,20,4,4,3,3,3,2,2,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
33,No,8,4,2,3,7104,0,No,12,3,4,6,3,3,5,1,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
32,No,9,4,2,4,6322,1,Yes,12,3,4,6,2,2,6,0,5,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
30,No,3,3,1,3,2083,1,No,20,4,3,1,2,3,1,0,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
