,name,rating,reviews,salary,company_type,headquarter
1776,Amul India,4.3,386,2200.0,1k-5k Employees (Global) ,Anand
1777,Jayaswal Neco Industries,4.1,386,1800.0,Iron & Steel ,Nagpur
1778,Capco Technologies,3.7,386,3600.0,IT Services & Consulting ,London
1779,SMC Global Securities,3.3,386,2100.0,1k-5k Employees ,SMC Global Securities Ltd.
1780,BMC Software,4.3,386,3600.0,IT Services & Consulting ,Houston
1781,Optimum Infosystem,3.5,386,2300.0,IT Services & Consulting ,Singapore
1782,IRB Infrastructure,4.2,386,1200.0,Engineering & Construction ,Mumbai
1783,Sudarshan Chemical Industries,3.7,385,2300.0,Chemicals ,Pune
1784,Aurigo,4.9,385,776.0,Software Product ,Austin
1785,Vijai Electricals,3.5,385,1600.0,Power ,Hyderabad/Secunderabad
1786,Bajaj Capital Insurance,3.7,385,1200.0,Insurance ,New Delhi
1787,JM Financial,3.7,385,3300.0,Financial Services ,Mumbai
1788,Shriram Housing Finance,3.8,384,1800.0,Financial Services ,Mumbai
1789,Advantmed,3.7,384,2100.0,Software Product ,Santa Ana
1790,Data Entry,4.0,384,1900.0,BPO ,New Delhi
1791,Moglix,3.6,384,2500.0,Internet ,Singapore
1792,Mahindra Automotives,4.1,384,2700.0,Automobile ,Hyderabad
1793,Pace Setters Business Solutions,3.2,383,1200.0,BPO ,Mumbai
1794,Westin,3.8,383,1400.0,Hospitality ,Kolkata
1795,NxtWave,4.0,383,1000.0,EdTech ,Hyderabad
1796,Maersk Line,4.3,382,2500.0,Logistics ,Copenhagen
1797,TriGeo Technologies,3.1,382,1900.0,IT Services & Consulting ,Hyderabad/Secunderabad
1798,Thryve Digital,4.1,382,3800.0,IT Services & Consulting ,Chennai
1799,Black Knight,3.5,381,3400.0,IT Services & Consulting ,Jacksonville
1800,Black Knight,3.5,381,3400.0,IT Services & Consulting ,Jacksonville
1801,Bahwan CyberTek,4.0,381,3200.0,IT Services & Consulting ,Chennai
1802,Boeing,4.1,381,5400.0,Aviation ,Arlington
1803,Axtria,3.5,381,4600.0,Software Product ,Berkeley Heights
1804,Scientific Publishing Services,3.9,381,1800.0,Analytics & KPO ,Chennai
1805,Technip Energies,4.1,380,2700.0,Engineering & Construction ,Paris
1806,Continental,4.1,380,3200.0,Auto Components ,Hanover
1807,CJ Darcl Logistics Limited,3.9,380,1400.0,Logistics ,Hisar
1808,Chaayos,3.5,380,1500.0,Hospitality ,Delhi
1809,Perficient,3.7,380,2900.0,IT Services & Consulting ,St Louis
1810,Autoliv,4.0,379,2200.0,Auto Components ,Klarabergsviadukten 70
1811,AT&T,4.2,379,3700.0,Telecom ,Dallas
1812,AI Airport Services,3.4,378,1000.0,1k-5k Employees ,Mumbai
1813,Apollo Health and Lifestyle,4.2,378,2100.0,Healthcare ,Hyderabad/Secunderabad
1814,HP India Sales,4.3,377,2600.0,Consumer Electronics & Appliances ,Bengaluru
1815,B. G. Shirke Construction Technology,4.2,377,2500.0,Engineering & Construction ,Pune
1816,Vizag Steel,4.1,377,1400.0,Iron & Steel ,Visakhapatnam/Vizag
1817,Leighton Contractors,4.3,377,1100.0,Engineering & Construction ,Mumbai
1818,Dr. Reddy's Foundation,4.1,377,1500.0,Non-Profit ,Hyderabad/Secunderabad
1819,Reliance Infrastructure,4.0,377,2200.0,Engineering & Construction ,Mumbai
1820,B. G. Shirke Construction Technology,4.2,377,2500.0,Engineering & Construction ,Pune
1821,Hpl Electric & Power,3.4,376,2000.0,Electrical Equipment ,Noida
1822,Baker Hughes,4.0,376,3400.0,Oil & Gas ,Boston
1823,Usha Martin,4.0,376,1500.0,Iron & Steel ,Kolkata
1824,Coats,3.9,376,1800.0,1k-5k Employees ,Middlesex
1825,CtrlS,3.5,375,2500.0,IT Services & Consulting ,Hyderabad
1826,Metro Group of Hospitals,3.7,375,954.0,Healthcare ,Noida
1827,Roop Polymers,4.0,375,1700.0,Auto Components ,Gurgaon/Gurugram
1828,SIS Prosegur Holdings,3.7,375,1100.0,Law Enforcement & Security ,Patna
1829,Jorie Healthcare,4.6,375,170.0,Healthcare ,Illinois
1830,Castrol,4.2,374,1800.0,Chemicals / Agri Inputs ,Pangbourne
1831,Jiva Ayurvedic Pharmacy,3.7,374,1200.0,Healthcare ,Faridabad
1832,Hindware,4.1,374,1700.0,Building Material ,Gurgaon
1833,Sterling Holiday Resort,3.8,373,1700.0,Hospitality ,Chennai
1834,Cvent,3.5,373,3800.0,IT Services & Consulting ,Fairfax
1835,Philips Innovation Campus,3.9,373,3700.0,Healthcare ,Amsterdam
1836,Reliance Smart,4.2,373,1500.0,Retail ,Mumbai
1837,Anlitiks,4.8,373,3.0,Hyderabad/Secunderabad +1 more,Hyderabad/Secunderabad
1838,Trigent Software,3.8,373,3300.0,IT Services & Consulting ,Southborough
1839,Emerson Electric Co.,4.1,371,3000.0,IT Services & Consulting ,St Louis
1840,Emerson Electric Co.,4.1,371,3000.0,IT Services & Consulting ,St Louis
1841,Monte Carlo,4.0,371,2100.0,Fashion & Textile ,San Francisco
1842,N.C.L. Industries,3.8,371,1600.0,Building Material ,Hyderabad/Secunderabad
1843,RAK Ceramics,4.0,371,1600.0,Building Material ,Ras Al Khaimah
1844,Hindusthan National Glass,3.7,370,2000.0,Packaging ,Kolkata
1845,Marelli,3.7,370,2500.0,Auto Components ,Corbetta
1846,Cox & Kings,3.9,370,2100.0,Travel & Tourism ,Mumbai
1847,WayCool Foods and Products,3.6,369,2300.0,FMCG ,Chennai
1848,Nexdigm,3.3,369,2500.0,Management Consulting ,Pune
1849,Satyam Auto Components,3.9,369,2300.0,Auto Components ,Ludhiana
1850,Fena,4.1,369,1300.0,Chemicals ,Delhi/NCR
1851,Sanghi Industries,3.6,369,2000.0,Building Material ,Ahmedabad
1852,iNurture Education Solutions,3.1,369,1500.0,EdTech ,Bangalore
1853,Toothsi,2.7,368,1800.0,Internet ,Mumbai
1854,Indecomm Global Services,3.6,368,3400.0,IT Services & Consulting ,Edison
1855,Danfoss Industries,4.1,368,2500.0,501-1k Employees ,Nordborg
1856,Otsuka Pharmaceutical,4.2,368,1600.0,Pharma ,Chiyoda City
1857,Deloitte Digital,4.0,367,2500.0,IT Services & Consulting ,New York
1858,Novotel Hotels,4.3,367,1400.0,Hospitality ,Issy les Moulineaux
1859,Tekwissen,4.8,367,342.0,IT Services & Consulting ,Ann Arbor
1860,Novotel Hotels,4.3,367,1400.0,Hospitality ,Issy les Moulineaux
1861,Dr. Batras' Positive Health Clinic,3.4,366,1100.0,Healthcare ,Mumbai
1862,Pearson Education India,4.2,366,2000.0,Education & Training ,Noida
1863,Carlsberg,4.2,366,1700.0,Beverage ,Vesterbro
1864,QUICK HEAL TECHNOLOGIES,3.8,366,2700.0,Software Product ,Pune
1865,Baazar Kolkata,4.3,366,877.0,Retail ,Kolkata
1866,Carrier,4.0,365,2900.0,Consumer Electronics & Appliances ,Florida
1867,BLK Super Speciality Hospital,3.9,365,1300.0,Healthcare ,Delhi/NCR
1868,Super Smelters,4.0,365,1600.0,Metals & Mining ,Kolkata
1869,Einfochips,3.5,365,3000.0,IT Services & Consulting ,San Jose
1870,British Council,3.8,365,2300.0,Education & Training ,London
1871,Micron Electricals,3.9,365,2100.0,Engineering & Construction ,Bangalore/Bengaluru
1872,Lite Bite Foods,4.4,365,1500.0,Food Processing ,Gurgaon/Gurugram
1873,Cyfuture,3.4,365,2300.0,IT Services & Consulting ,Noida
1874,Glaze Trading India,4.0,364,1200.0,Retail ,Delhi/NCR
1875,Turtlemint,3.6,364,1700.0,Internet ,Mumbai
1876,South Indian Bank,3.7,364,2400.0,Banking ,Thrissur/Trichur
1877,Wissen Technology,4.1,364,2300.0,IT Services & Consulting ,Bengaluru
1878,ExxonMobil,3.8,363,3000.0,Oil & Gas ,Irving
1879,Universal Sompo General Insurance,3.8,363,1800.0,Insurance ,Mumbai
1880,Universal Sompo General Insurance,3.8,363,1800.0,Insurance ,Mumbai
1881,CRYSTAL CROP PROTECTION,3.8,363,1500.0,Agro Chemicals ,Delhi/NCR
1882,Virtual Employee,3.3,362,3100.0,Recruitment ,Noida
1883,IDBI Intech,3.7,362,2500.0,IT Services & Consulting ,Navi Mumbai
1884,Onshore Construction,3.8,362,1700.0,Engineering & Construction ,Mumbai
1885,Efs Facilities Services,4.0,362,1100.0,Facility Management Services ,Dubai
1886,SLMG Beverages,3.9,361,1600.0,Beverage ,Lucknow
1887,Torry Harris Integration Solutions,4.0,361,4400.0,IT Services & Consulting ,Perth Amboy
1888,RealPage,3.8,361,3100.0,IT Services & Consulting ,Richardson
1889,Vindhya Telelinks,4.0,361,1600.0,Hardware & Networking ,Delhi/NCR
1890,Acme Generics LLP,4.5,361,1100.0,Pharma ,Baddi
1891,Venky's,3.7,361,1400.0,FMCG ,Pune
1892,Fino Paytech,4.0,360,1000.0,FinTech ,Mumbai
1893,smartData Enterprises,3.5,360,2000.0,IT Services & Consulting ,White Plains
1894,MAHLE Behr India,4.1,360,1400.0,Auto Components ,Pune
1895,Country Holidays Travel India,4.4,360,15.0,Travel & Tourism ,New Delhi
1896,Five-star Business Finance,4.3,359,1400.0,NBFC ,Chennai
1897,Mecon,4.0,359,1600.0,Metals & Mining ,Ranchi
1898,Sulzer,3.8,359,2300.0,Industrial Machinery ,Winterthur
1899,Sarovar Hotels & Resorts,4.2,359,1400.0,Hospitality ,Gurgaon/Gurugram
1900,Williams Lea,3.7,359,3100.0,BPO ,New York
1901,Five-star Business Finance,4.3,359,1400.0,NBFC ,Chennai
1902,NICE,3.8,359,3200.0,Software Product ,Pune
1903,URC Construction,3.5,358,1800.0,Engineering & Construction ,Chennai
1904,Axiscades,3.3,358,3000.0,IT Services & Consulting ,Bangalore/Bengaluru
1905,Bharat Biotech International,3.0,358,1700.0,Biotechnology ,Hyderabad
1906,DeHaat,3.7,358,989.0,Agriculture ,Patna
1907,QHTalbros,3.5,357,1400.0,Auto Components ,Gurgaon/Gurugram
1908,Hinduja Housing Finance,3.9,357,1600.0,NBFC ,Chennai
1909,Radico Khaitan,3.9,356,1600.0,Beverage ,Delhi/NCR
1910,Value Point Systems,3.6,356,2000.0,IT Services & Consulting ,Bangalore
1911,ThoughtWorks,4.0,356,3900.0,IT Services & Consulting ,Chicago
1912,Wellness Forever Medicare,3.9,356,1400.0,Retail ,Mumbai
1913,Inspirisys Solution,4.0,356,3100.0,IT Services & Consulting ,Chennai
1914,Mahanagar Gas,4.2,355,2200.0,Oil & Gas ,Mumbai
1915,Emaar India Limited,3.7,355,2200.0,Real Estate ,Delhi/NCR
1916,Bridgestone India Automotive Products,4.2,355,2100.0,Auto Components ,Pune
1917,Cotiviti,3.9,355,3100.0,Analytics & KPO ,South Jordan
1918,Alight Solutions,3.9,354,2300.0,IT Services & Consulting ,Lincolnshire
1919,Reliance Life Sciences,3.6,354,2100.0,Clinical Research ,Mumbai
1920,Waaree Energies,3.8,354,1900.0,Power ,Mumbai
1921,Pathkind Diagnostics Private Limited,4.0,354,1500.0,Healthcare ,Gurgaon/Gurugram
1922,Solara Active Pharma Sciences,3.7,354,2600.0,Pharma ,Chennai
1923,Paramount Health Services Tpa,3.9,354,1900.0,Internet ,Mumbai
1924,NLC,4.4,353,968.0,Metals & Mining ,Chennai
1925,Central Bank of India,3.9,353,1100.0,Banking ,Mumbai
1926,Aptech,3.6,353,1800.0,Education & Training ,Mumbai
1927,Giesecke & Devrient,3.8,353,2100.0,IT Services & Consulting ,Munich
1928,Pepperfry,3.5,353,1900.0,Furniture & Furnishing ,Mumbai
1929,Lakme,4.2,353,1500.0,Beauty & Personal Care ,Mumbai
1930,Alorica,3.1,352,1400.0,BPO ,Irvine
1931,FMC,4.1,352,1500.0,Agro Chemicals ,Philadelphia
1932,Jindal Poly Films,3.6,352,2200.0,Packaging ,Delhi/NCR
1933,VirtusaPolaris,3.7,352,4400.0,IT Services & Consulting ,Colombo
1934,CWT,4.0,352,1700.0,Travel & Tourism ,Minnetonka
1935,IDP Education Limited,3.9,351,2200.0,EdTech ,Melbourne
1936,McCain Foods,4.2,351,1300.0,Food Processing ,Toronto
1937,RenewBuy,3.7,351,2000.0,Insurance ,Gurgaon
1938,Fortis Escorts Hospital,4.0,351,994.0,Healthcare ,Delhi/NCR
1939,Federal Mogul Goetze,4.1,350,1500.0,Auto Components ,Gurgaon/Gurugram
1940,Suroj Buildcon,4.1,350,1300.0,Engineering & Construction ,Pune
1941,Razorpay,3.9,350,3500.0,FinTech ,Bangalore
1942,North East Small Finance Bank,3.9,350,1400.0,Banking ,Guwahati
1943,National Payments Corporation of India,3.6,350,2900.0,FinTech ,Mumbai
1944,Debtcare Enterprises,4.4,350,235.0,Investment Banking / Venture Capital / Private Equity ,Hyderabad/Secunderabad
1945,Prestige Group,4.2,349,2100.0,Real Estate ,Bengaluru
1946,ICFAI University,3.8,349,1200.0,Education & Training ,Dehradun
1947,BKT Tyres,4.0,349,1900.0,Auto Components ,Mumbai
1948,TTK Healthcare,4.2,349,1300.0,Healthcare ,Chennai
1949,Consulting Engineers Group,4.2,348,1300.0,Engineering & Construction ,Jaipur
1950,Uppcl,4.0,348,1200.0,Power ,Lucknow
1951,Zycus Infotech,3.4,348,3300.0,Software Product ,Princeton
1952,PC Jewellers,3.9,348,1200.0,Metals & Mining ,Delhi/NCR
1953,Vijay Nirman Company,3.8,348,1100.0,Engineering & Construction ,Visakhapatnam/Vizag
1954,Avery Dennison,3.9,348,1800.0,Packaging ,Glendale
1955,Supertech,3.8,348,2000.0,Real Estate ,Noida
1956,Allied Blenders & Distillers,4.0,348,1600.0,Beverage ,Mumbai
1957,GD Goenka Public School,4.0,348,1200.0,Education & Training ,Gurgaon/Gurugram
1958,India Post,3.8,348,1200.0,Government ,Mysore/Mysuru
1959,Glenmark Life Sciences,3.7,348,3000.0,Pharma ,Mumbai
1960,Transrail Lighting,4.0,348,1800.0,Electronics Manufacturing ,Mumbai
1961,S P Singla Constructions,3.7,347,1400.0,Engineering & Construction ,Panchkula
1962,Honeywell International India,4.1,347,2600.0,Defence & Aerospace ,Charlotte
1963,Hexagon Nutrition,4.0,347,1000.0,Food Processing ,Mumbai
1964,PropTiger.com,4.1,347,1600.0,Internet ,Gurgaon
1965,DB Schenker,4.2,347,1800.0,Logistics ,Essen
1966,Sapphire Foods India,4.0,347,1600.0,Retail ,Mumbai
1967,Mars International India,4.2,346,1600.0,Food Processing ,McLean
1968,F1 Info Solutions Services,3.7,346,1200.0,IT Services & Consulting ,Mumbai
1969,Medica Superspecialty Hospital,3.4,346,1600.0,Healthcare ,Kolkata
1970,Global Autotech,3.9,346,2000.0,Auto Components ,Greater Noida
1971,Pinnacle Infotech,3.6,346,2100.0,IT Services & Consulting ,Houston
1972,RR,4.1,345,34.0,Chennai +11 more,Chennai
1973,Prime Focus Technologies,3.4,345,2600.0,Software Product ,Mumbai
1974,SG Analytics,3.6,345,2400.0,Analytics & KPO ,Pune
1975,Alpla,4.1,345,1600.0,Packaging ,Hard
1976,Wood Group,4.1,345,2000.0,Engineering & Construction ,Aberdeen City
1977,Suprajit Engineering,3.7,345,2000.0,Auto Components ,Bangalore/Bengaluru
1978,ANAROCK Property Consultants,3.8,344,2400.0,Real Estate ,Mumbai
1979,PayU Payments,3.8,344,2900.0,FinTech ,Amsterdam
1980,Tata International,3.8,344,2000.0,Import & Export ,Mumbai
1981,Srei Equipment Finance,4.4,344,1300.0,Financial Services ,Kolkata
1982,Cashify,3.7,344,1900.0,Internet ,Gurgaon
1983,PayU Payments,3.8,344,2900.0,FinTech ,Amsterdam
1984,ANAROCK Property Consultants,3.8,344,2400.0,Real Estate ,Mumbai
1985,Yokohama,3.8,343,1800.0,Auto Components ,tokyo
1986,Kaya Skin Clinic,4.1,343,1200.0,Beauty & Personal Care ,Mumbai
1987,Mahendra’s Institute,3.3,343,1000.0,Education & Training ,Lucknow
1988,Mavenir Systems,3.7,343,3000.0,Software Product ,Richardson
1989,Capital Foods,3.9,343,1300.0,Food Processing ,Mumbai
1990,Koch Business Solutions,3.7,343,3300.0,Oil & Gas ,Wichita
1991,Hero Cycles,3.4,342,1900.0,Automobile ,Gurgaon/Gurugram
1992,Sterling,4.0,342,1000.0,Healthcare ,Mumbai
1993,MCM Telecom Equipment,4.0,342,1100.0,Electronics Manufacturing ,Noida
1994,Iron Mountain Inc,4.0,342,2700.0,IT Services & Consulting ,Boston
1995,Amazon Sellers Services,4.2,342,860.0,Retail ,Bengaluru/Bangalore
1996,Lido Learning,2.2,342,1800.0,EdTech ,Mumbai
1997,SPAR Hypermarkets,4.3,341,1400.0,Retail ,Bangalore/Bengaluru
1998,Bhilosa Industries,3.8,341,2100.0,Fashion & Textile ,Mumbai
1999,JSW Paints,4.0,341,1800.0,Chemicals ,Mumbai
2000,Google Operations Center,3.5,340,2300.0,Internet ,Hyderabad/Secunderabad
2001,Del Monte Foods,4.0,340,1400.0,Food Processing ,San Francisco
2002,Fujiyama Power System,3.5,340,1400.0,Power ,Delhi/NCR
2003,Excitel Broadband,3.7,340,1600.0,Telecom ,Delhi
2004,Gujarat Heavy Chemicals,4.0,340,1500.0,Chemicals ,Noida
2005,Welspun Corp,4.0,339,1600.0,Iron & Steel ,Mumbai
2006,Flamingo Pharmaceuticals,3.3,339,1700.0,Pharma ,Mumbai
2007,National Bulk Handling Corporation,4.0,339,1200.0,Agriculture ,Mumbai
2008,Dineshchandra R Agarwal Infracon,4.1,338,1500.0,Engineering & Construction ,Ahmedabad
2009,ManipalCigna Health Insurance,4.0,338,2100.0,Insurance ,Mumbai
2010,CSG International,4.2,338,3500.0,Software Product ,Englewood
2011,Serum Institute of India,4.2,338,2300.0,Biotechnology ,Pune
2012,B. Braun Medical,3.9,338,1400.0,Healthcare ,Melsungen
2013,Andritz Hydro Location India,3.8,338,2500.0,Industrial Machinery ,Graz
2014,Portea Medical,3.7,338,1400.0,Healthcare ,Bangalore
2015,Unimoni,3.8,337,2900.0,FinTech ,Abu Dhabi
2016,Vimta Labs,3.6,337,1700.0,Other ,Hyderabad/Secunderabad
2017,Blackrock,4.0,337,4000.0,Management Consulting ,New York City
2018,Navin Fluorine International,4.0,336,2300.0,Chemicals ,Mumbai
2019,GTL Infrastructure,4.5,336,994.0,Hardware & Networking ,Mumbai
2020,Toyoda Gosei Minda,4.2,336,1400.0,Auto Components ,Aichi
2021,Heavy Engineering Industries & Shipbuilding,4.0,335,683.0,Engineering & Construction ,Kuwait City
2022,HealthifyMe,3.2,335,1400.0,Fitness & Wellness ,Bangalore/Bengaluru
2023,Ramkrishna Forgings,3.8,335,2000.0,Railways ,Kolkata
2024,Kokilaben Dhirubhai Ambani Hospital,3.8,335,1500.0,Healthcare ,Mumbai
2025,Siyaram Silk Mills,3.8,335,1600.0,Fashion & Textile ,Mumbai
2026,Wissen Infotech,4.0,335,2800.0,IT Services & Consulting ,Hyderabad/Secunderabad
2027,V.S.T Tillers Tractors,3.6,335,1600.0,Industrial Machinery ,Bangalore/Bengaluru
2028,Allegis Group,3.7,335,2900.0,Recruitment ,Hanover
2029,Inspira Enterprise India,3.7,334,2500.0,IT Services & Consulting ,Mumbai
2030,Jaypee Cement,4.2,334,1100.0,Building Material ,Solan
2031,WAKEFIT INNOVATIONS,4.0,334,1500.0,Furniture & Furnishing ,Bangalore
2032,Communications Test Design,3.6,334,1300.0,IT Services & Consulting ,Pennsylvania
2033,Gionee,4.2,334,481.0,Consumer Electronics & Appliances ,Shenzhen
2034,DFM Foods,4.0,334,1400.0,FMCG ,Delhi/NCR
2035,Ssipl Lifestyle,3.7,334,1200.0,Retail ,Delhi/NCR
2036,Brainvire,4.1,334,988.0,IT Services & Consulting ,Irving
2037,Amri Hospital,4.1,333,1400.0,Healthcare ,Kolkata
2038,Agility,4.1,333,1700.0,Logistics ,Sulaibiya
2039,Jtekt Sona Automotive India,4.1,333,1200.0,Auto Components ,Gurgaon/Gurugram
2040,IIFL Home Finance,3.9,333,1400.0,Gurgaon/Gurugram +123 more,Gurgaon/Gurugram
2041,Tractebel,4.1,332,1600.0,Engineering & Construction ,Brussels
2042,Indofil Industries,4.2,332,1800.0,Agro Chemicals ,Mumbai
2043,Labournet Services,3.9,332,1100.0,Non-Profit ,Bangalore
2044,Systra Consulting,4.1,332,1600.0,Engineering & Construction ,Faridabad
2045,Subex,3.4,332,3000.0,Emerging Technologies ,Bangalore/Bengaluru
2046,Evelyn Learning Systems,3.8,332,987.0,EdTech ,Delhi/NCR
2047,Franchise India Brands,2.2,332,1600.0,Marketing & Advertising ,New Delhi
2048,Anmol Industries,4.0,332,1400.0,Food Processing ,Kolkata
2049,SABIC,4.1,332,1500.0,Chemicals ,Riyadh
2050,Voyants Solutions,3.6,331,1500.0,Engineering & Construction ,Gurgaon
2051,Senco Gold,4.2,331,1100.0,Jewellery ,Kolkata
2052,Dusters Total Solutions Services,4.0,331,1400.0,Facility Management Services ,Bangalore/Bengaluru
2053,BYJU'S Exam Prep,3.9,331,931.0,EdTech ,Noida
2054,Škoda Auto Volkswagen,4.1,331,2400.0,Automobile ,Pune
2055,ByteDance,4.3,331,2200.0,Internet ,Shanghai
2056,Trident Hotels,4.1,330,1000.0,Hospitality ,New Delhi
2057,Maharashtra Seamless,3.6,330,1800.0,Building Material ,Gurgaon/Gurugram
2058,Honda Logistics,3.8,330,1500.0,Logistics ,Alwar
2059,Allianz Services,4.4,330,1900.0,Insurance ,Munich
2060,Muthoottu Mini Financiers,3.5,329,1100.0,Hyderabad/Secunderabad +67 more,Hyderabad/Secunderabad
2061,Nivea,4.2,329,1500.0,Beauty & Personal Care ,Hamburg
2062,Karvy Financial Services,3.7,329,2000.0,Financial Services ,Hyderabad/Secunderabad
2063,Electrosteel Casting,3.8,329,1700.0,Building Material ,Kolkata
2064,Wolters Kluwer,4.0,329,3500.0,IT Services & Consulting ,Alphen Aan Den Rijn
2065,Vectus Industries,4.1,328,1400.0,Petrochemicals ,Noida
2066,IKEA,4.2,328,1700.0,Retail ,Delft
2067,RPG Life Sciences,4.1,328,1400.0,Pharma ,Mumbai
2068,Triumphant Institute of Management Education,3.7,328,1500.0,Education & Training ,Hyderabad
2069,National Stock Exchange of India,3.5,328,3200.0,Financial Services ,Mumbai
2070,Red Hat,4.3,328,2900.0,Software Product ,Raleigh
2071,Surin Automotive,3.6,328,1900.0,Auto Components ,Bangalore/Bengaluru
2072,Zolo,3.6,328,1900.0,Internet ,Bangalore
2073,Syrma Technology,3.9,328,1900.0,Electronics Manufacturing ,Chennai
2074,Gupta Power Infrastructure,3.0,328,1700.0,Power ,Bhubaneswar
2075,Kataria Automobiles,3.7,328,1500.0,Automobile ,Ahmedabad
2076,Nash Industries,3.5,328,2200.0,Industrial Machinery ,Bangalore/Bengaluru
2077,Rieter,3.9,328,2100.0,Industrial Machinery ,Khandala
2078,DATAMARK BPO SERVICE (P) LTD,3.8,327,1100.0,BPO ,El Paso
2079,Aksentt Tech Services,4.8,327,261.0,Telecom ,Mumbai
2080,Pratham Education Foundation,4.2,327,924.0,Education & Training ,Delhi/NCR
2081,Grindwell Norton,4.1,327,1600.0,Industrial Machinery ,Mumbai
2082,Mikuni,4.1,327,1400.0,Auto Components ,Sotokanda
2083,ABCI Infrastructures,3.5,327,7300.0,Engineering & Construction ,Kolkata
2084,RadiSys,4.2,326,1500.0,Hardware & Networking ,Bangalore/Bengaluru
2085,Plastic Omnium,3.9,326,1700.0,Automobile ,Levallois-Perret
2086,JBS Enterprises,3.5,325,1200.0,Electronics Manufacturing ,Mumbai
2087,L&T Heavy Engineering,4.4,325,466.0,Engineering & Construction ,Hazira
2088,Worldline Global Services,4.0,325,3200.0,IT Services & Consulting ,Bezons
2089,Wipro HR Services,3.3,325,2300.0,Recruitment ,Noida
2090,Aker Solutions,4.0,325,2400.0,Engineering & Construction ,Fornebu
2091,Keysight Technologies,4.0,325,2300.0,Electronics Manufacturing ,Santa Rosa
2092,GS Lab,4.0,325,3300.0,IT Services & Consulting ,Pune
2093,Bharat Fritz Werner,3.8,325,1900.0,Industrial Machinery ,Bangalore/Bengaluru
2094,Penna Cement Industries,4.3,325,1800.0,Building Material ,Hyderabad/Secunderabad
2095,Mazagon Dock,4.3,325,1200.0,1k-5k Employees ,Mumbai
2096,Matrix Business Services,3.4,325,1700.0,Analytics & KPO ,Chennai
2097,Electronica Finance,3.8,325,1700.0,NBFC ,Pune
2098,Gainwell Commosales,4.2,324,1700.0,Industrial Machinery ,Kolkata
2099,Consero Global Solutions,3.4,324,2100.0,Financial Services ,Austin
2100,Rusan Pharma,3.5,324,1700.0,Pharma ,Mumbai
2101,Essar Group,4.0,324,1700.0,Engineering & Construction ,Mumbai
2102,Trianz,3.6,324,3800.0,IT Services & Consulting ,Santa Clara
2103,Infiniti Research,3.9,324,1800.0,Analytics & KPO ,London
2104,Consero Global Solutions,3.4,324,2100.0,Financial Services ,Austin
2105,Gulf Oil Lubricants,4.1,324,1500.0,Chemicals / Agri Inputs ,Mumbai
2106,Gainwell Commosales,4.2,324,1700.0,Industrial Machinery ,Kolkata
2107,Keihin Fie,4.3,323,6200.0,Auto Components ,Pune
2108,Ppap Automotive,3.9,323,1500.0,Auto Components ,Noida
2109,Hafele,4.2,323,1800.0,Furniture & Furnishing ,Nagold
2110,Samsung C&T,4.1,323,1400.0,Engineering & Construction ,Suwon-Si
2111,ITSource Technologies,3.1,323,2400.0,IT Services & Consulting ,Mumbai
2112,Paharpur Cooling Towers,3.9,322,1600.0,Industrial Machinery ,Kolkata
2113,NU Vista,4.3,322,1600.0,Building Material ,Kolkata
2114,Vidal Health Tpa,3.7,322,1500.0,Insurance ,Bangalore
2115,Indostar Capital Finance,4.1,322,1600.0,NBFC ,Mumbai
2116,ITI,3.9,322,1500.0,Hardware & Networking ,Bangalore/Bengaluru
2117,Nowfloats Technologies,3.4,322,1400.0,Software Product ,Hyderabad
2118,Enco Engineers Combine,3.7,322,1300.0,Auto Components ,Gurgaon/Gurugram
2119,Alcon,3.6,322,1800.0,Medical Equipment ,Fort Worth
2120,Metalman Auto,4.0,322,1700.0,Auto Components ,Gurgaon/Gurugram
2121,Safari Industries India,4.1,322,1600.0,Fashion & Textile ,Mumbai
2122,Chemplast Sanmar,3.8,322,1800.0,Chemicals ,Chennai
2123,Vcare Trichology,3.9,322,1400.0,Healthcare ,Chennai
2124,ITC Limited Foods Division,3.9,322,1200.0,Food Processing ,Kolkata
2125,Eli Lilly and Company,4.2,322,2700.0,Pharma ,Indianapolis
2126,Schwing Stetter,4.0,321,1700.0,Industrial Machinery ,Chennai
2127,Kunal Structure,3.7,321,1100.0,Real Estate ,Ahmedabad
2128,S.K. Finance,4.1,321,1500.0,NBFC ,Jaipur
2129,Liberty General Insurance,3.7,320,1600.0,Insurance ,Mumbai
2130,Descon Engineering,4.0,320,639.0,Engineering & Construction ,Lahore
2131,Reliance Jewels,4.1,320,1000.0,Jewellery ,Mumbai
2132,Maxop Engineering Co.,4.1,320,1800.0,Industrial Machinery ,Delhi/NCR
2133,Railtel Corporation Of India,3.8,320,1700.0,Hardware & Networking ,Gurgaon/Gurugram
2134,First Flight Couriers,4.1,320,777.0,Logistics ,Mumbai
2135,DesignTech Systems,3.3,320,2000.0,IT Services & Consulting ,Pune
2136,Rao IIT Academy,3.4,320,796.0,Education & Training ,Mumbai
2137,Siemens Healthineers,3.9,320,2900.0,Healthcare ,Erlangen
2138,Damco Solutions,4.0,320,1800.0,IT Services & Consulting ,Princeton
2139,Royal Migration Solutions,5.0,320,2.0,Dubai +6 more,Dubai
2140,Congruex Asia Pacific,3.3,320,1500.0,Engineering & Construction ,Boulder
2141,Air India Air Transport Services,3.5,319,1300.0,Facility Management Services ,Delhi/NCR
